Flight_ID,Airline,Flight_Number,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Ticket_Price_INR,Flight_Status
1,IndiGo,6E6888,BLR,DEL,2024-01-27 13:00,2024-01-27 03:00,6936,On Time
2,Akasa Air,SG6352,HYD,COK,2024-11-23 03:00,2024-11-23 05:00,3111,Cancelled
3,Vistara,AI5107,DEL,BOM,2024-09-21 12:00,2024-09-21 04:00,2602,Cancelled
4,Go First,6E1634,HYD,MAA,2024-02-27 13:00,2024-02-27 01:00,4049,Cancelled
5,IndiGo,6E7165,DEL,PNQ,2024-08-27 21:00,2024-08-27 05:00,4580,Cancelled
6,Vistara,AI9793,AMD,DEL,2024-12-17 15:00,2024-12-17 04:00,4431,On Time
7,Air India,SG2984,MAA,TRV,2024-02-23 12:00,2024-02-23 04:00,10577,Cancelled
8,SpiceJet,QP9848,MAA,CCU,2024-08-04 13:00,2024-08-04 02:00,6401,Delayed
9,Vistara,QP6323,BOM,CCU,2024-01-04 04:00,2024-01-04 05:00,5594,Delayed
10,Air India,SG4688,PNQ,AMD,2024-04-06 01:00,2024-04-06 02:00,9689,On Time
11,IndiGo,SG7091,PNQ,MAA,2024-10-04 20:00,2024-10-04 04:00,11484,On Time
12,Go First,6E1858,BOM,TRV,2024-04-11 12:00,2024-04-11 04:00,3313,Cancelled
13,IndiGo,SG7436,BLR,AMD,2024-10-19 16:00,2024-10-19 05:00,5958,Delayed
14,SpiceJet,AI7801,PNQ,MAA,2024-08-11 07:00,2024-08-11 03:00,11434,Cancelled
15,SpiceJet,UK733,TRV,BOM,2024-01-09 05:00,2024-01-09 01:00,2670,Delayed
16,Air India,AI133,BOM,PNQ,2024-10-25 06:00,2024-10-25 01:00,7254,Delayed
17,Vistara,UK5664,HYD,PNQ,2024-10-27 21:00,2024-10-27 02:00,3955,Cancelled
18,Go First,UK7547,CCU,COK,2024-07-16 19:00,2024-07-16 05:00,11226,Cancelled
19,IndiGo,AI6085,COK,BLR,2024-10-27 18:00,2024-10-27 05:00,8381,Delayed
20,Air India,QP6952,PNQ,COK,2024-10-25 17:00,2024-10-25 03:00,5772,On Time
21,IndiGo,6E5690,BLR,PNQ,2024-10-07 09:00,2024-10-07 04:00,9634,On Time
22,SpiceJet,UK8250,CCU,AMD,2024-07-23 07:00,2024-07-23 04:00,10505,On Time
23,Vistara,SG5043,CCU,MAA,2024-08-17 19:00,2024-08-17 03:00,9626,Cancelled
24,IndiGo,AI7230,DEL,BLR,2024-09-19 14:00,2024-09-19 02:00,8616,Cancelled
25,SpiceJet,SG5604,MAA,BLR,2024-12-01 18:00,2024-12-01 01:00,4771,Delayed
26,Vistara,SG332,COK,MAA,2024-08-08 15:00,2024-08-08 04:00,11665,On Time
27,Vistara,6E9024,BOM,PNQ,2024-10-06 17:00,2024-10-06 05:00,8419,On Time
28,IndiGo,QP8763,BOM,DEL,2024-01-29 14:00,2024-01-29 04:00,4351,Delayed
29,IndiGo,AI1762,BLR,HYD,2024-11-29 11:00,2024-11-29 02:00,4584,Cancelled
30,Go First,AI5318,COK,DEL,2024-09-18 05:00,2024-09-18 04:00,5105,On Time
31,Go First,SG9186,BOM,MAA,2024-08-26 13:00,2024-08-26 03:00,8189,Delayed
32,IndiGo,QP1078,BOM,HYD,2024-07-20 08:00,2024-07-20 03:00,4906,On Time
33,Akasa Air,SG8630,TRV,COK,2024-08-01 16:00,2024-08-01 02:00,5472,On Time
34,SpiceJet,6E8044,MAA,DEL,2024-06-14 02:00,2024-06-14 04:00,3765,Cancelled
35,Go First,6E7066,PNQ,BLR,2024-03-02 14:00,2024-03-02 02:00,10305,Delayed
